CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0137,0.9999962164814794,C0152,0.9999923565702188,C0107,0.9994534418280004
C0002,C0142,0.9979529771237075,C0088,0.9965920363023909,C0134,0.9952322811236608
C0003,C0133,0.9997104247369354,C0052,0.9993106223597285,C0137,0.9966465254263742
C0004,C0113,0.9989897748891858,C0102,0.9981680723810292,C0108,0.9979818478166548
C0005,C0159,0.9999702653597566,C0186,0.9983815862443876,C0178,0.9961226480251291
C0006,C0158,0.9980443360236827,C0171,0.9963762742290977,C0168,0.9960596815983815
C0007,C0115,0.9956486158206448,C0159,0.995349157092181,C0140,0.9947409700851737
C0008,C0109,0.9970836901938979,C0139,0.993916076111791,C0098,0.9933981003019515
C0009,C0121,0.9958050748289291,C0010,0.9915004528941701,C0198,0.9895531715682808
C0010,C0199,0.9989544973706153,C0111,0.9966512102975611,C0103,0.9954902652729246
C0011,C0107,0.9999196045131382,C0048,0.9998988486154868,C0152,0.999125069300849
C0012,C0155,0.999921335912564,C0108,0.9994320448733697,C0013,0.997977514523987
C0013,C0087,0.9989352453476705,C0155,0.9986963296383314,C0012,0.997977514523987
C0014,C0198,0.9902143331558435,C0060,0.9847695534246497,C0009,0.9839700335280614
C0015,C0144,0.9989364402353565,C0036,0.9951598533098243,C0131,0.9945635174665763
C0016,C0183,0.9999960333700912,C0125,0.9962035599265943,C0067,0.9960180002913699
C0017,C0124,0.9980123659831549,C0075,0.997349471524093,C0179,0.9912727188564352
C0018,C0117,0.9963103598148783,C0079,0.9955487012465684,C0026,0.9954210024946288
C0019,C0172,0.9999979895403174,C0111,0.9971376942550846,C0103,0.9935048108470289
C0020,C0144,0.9844684931433233,C0042,0.9797163065595406,C0176,0.9790006826240235
